date,AMZN,APH,AAPL,BMRN,BA,CAT,CB,DDOG,DAL,DVN,LLY,XOM,F,HD,ISRG,JPM,LHX,MAR,MA,MRK,MSFT,MRNA,NBIX,PANW,PAYX,REGN,RTX,SPGI,CRM,NOW,SBUX,TMO,MTN,ZTS,Foreign Stock
2026-01-02,225.22,125.79,258.06,54.69,225.32,502.12,287.1,164.12,57.12,34.97,845.72,114.02,11.74,383.79,448.09,304.03,306.76,267.98,576.44,86.4,524.85,27.92,139.08,217.79,126.59,563.86,168.57,482.43,240.43,169.32,80.04,536.19,154.65,143.49,167761.75
2026-02-02,231.0,152.33,246.7,56.31,249.0,629.0,301.06,117.0,67.46,36.29,1041.29,130.46,13.28,375.11,527.44,302.74,342.33,313.84,531.74,109.45,454.52,43.0,134.54,184.06,107.42,733.78,196.36,519.04,220.07,125.4,93.66,619.01,140.6,123.24,167761.75
2026-02-23,210.11,151.04,264.58,64.08,232.03,759.74,331.62,115.66,69.44,44.39,1009.52,147.28,14.01,382.25,504.05,310.79,356.14,347.93,526.41,122.26,397.23,49.87,128.63,148.7,91.24,779.67,204.92,417.48,185.16,104.27,97.49,510.93,142.83,128.78,167761.75
2026-02-24,208.56,151.5,272.14,62.62,233.39,768.23,336.85,104.43,69.23,43.28,1042.15,149.26,14.2,384.48,494.02,297.3,354.27,343.15,498.0,123.93,389.0,50.52,130.96,141.67,88.48,772.19,198.46,418.27,185.42,102.49,96.51,515.6,141.84,128.66,84481.66
2026-02-25,210.64,152.64,274.23,61.44,230.36,766.61,334.54,110.33,69.38,42.62,1028.83,149.06,14.43,375.57,506.17,303.3,341.05,347.44,509.39,122.46,400.6,51.37,131.15,144.84,91.23,784.28,195.98,423.61,191.75,104.23,97.93,513.68,137.32,128.95,84481.66
2026-02-26,207.92,148.47,272.95,61.11,229.41,752.93,337.92,116.46,70.51,42.66,1022.02,148.54,14.41,375.09,506.88,306.13,355.16,350.57,514.77,119.3,401.72,51.71,130.64,149.4,94.48,770.79,197.63,437.49,199.47,109.3,98.08,520.12,140.26,129.76,84481.66
2026-02-27,210.0,146.06,264.18,61.73,227.53,742.83,340.86,111.96,65.7,43.53,1051.99,152.5,14.09,380.72,503.51,300.3,364.54,341.73,517.21,123.82,392.74,53.57,132.25,148.92,93.65,781.67,202.62,441.88,194.79,108.01,98.02,521.11,135.81,131.1,84481.66
2026-03-02,208.39,135.16,264.72,59.74,229.74,752.32,342.76,111.11,64.25,44.95,1017.97,154.22,13.39,370.81,496.25,297.56,378.48,330.47,521.0,121.41,398.55,52.85,132.38,150.15,94.25,790.81,212.16,443.08,192.95,109.42,96.76,508.58,134.92,128.96,84481.66
2026-03-03,208.73,129.58,263.75,58.53,224.12,722.18,338.3,111.77,64.6,44.0,1007.73,151.83,12.7,366.92,497.42,300.26,368.0,335.91,524.32,119.83,403.93,49.83,131.14,156.09,95.56,766.66,206.52,443.99,196.05,113.19,96.68,508.1,138.08,125.93,84481.66
2026-03-04,216.82,132.75,262.52,60.43,227.31,731.97,334.14,118.33,63.83,43.49,1003.57,149.82,12.81,369.11,501.18,299.39,368.75,335.94,522.92,120.28,405.2,57.8,133.44,158.56,95.79,787.5,208.82,445.5,193.08,113.86,97.15,512.69,136.35,125.96,84481.66
2026-03-05,218.94,136.24,260.29,60.57,222.06,706.08,332.46,122.36,61.31,44.52,983.26,150.76,12.34,361.68,496.7,293.55,360.1,333.04,524.66,116.07,410.68,53.83,129.64,163.16,98.38,764.93,203.86,451.11,201.39,120.38,98.69,518.84,140.25,122.23,84481.66
2026-03-06,213.21,131.87,257.46,61.12,231.11,680.9,328.0,125.75,59.01,44.48,990.33,151.21,12.15,357.92,490.16,289.48,366.61,323.8,522.34,115.79,408.96,52.52,128.13,165.05,100.85,759.86,209.76,452.36,202.11,124.34,98.99,501.97,138.76,121.43,84481.66
2026-03-09,213.49,136.06,259.88,60.88,225.0,704.82,324.4,128.56,60.58,44.82,1008.39,150.44,12.19,353.56,493.56,289.92,371.26,328.86,517.72,117.11,409.41,55.74,129.93,165.1,98.3,781.6,208.23,445.28,198.79,121.93,99.77,509.97,133.94,122.36,84481.66
2026-03-10,214.33,136.74,260.83,60.89,217.76,716.68,325.24,123.08,59.27,43.7,1001.35,148.13,12.24,357.15,485.85,288.73,361.72,326.0,514.72,117.09,405.76,54.98,129.86,165.58,95.12,772.03,207.0,435.44,194.91,116.61,100.77,500.08,135.19,120.49,84481.66
2026-03-11,212.65,134.54,260.81,60.32,214.1,707.59,322.76,127.49,59.14,45.36,999.84,151.58,12.11,350.84,492.87,287.52,364.26,326.38,504.0,116.21,404.88,55.97,129.54,164.93,94.0,774.66,207.26,428.96,194.13,115.63,101.44,495.72,138.53,119.79,84481.66
2026-03-12,209.53,131.47,255.76,59.07,204.76,700.69,329.56,127.16,57.94,46.19,977.25,153.53,12.04,338.93,479.27,282.89,357.88,316.31,497.31,115.91,401.86,53.39,127.78,168.12,91.67,746.61,203.04,419.7,199.28,112.97,100.18,475.89,135.31,115.46,84481.66
2026-03-13,207.67,133.92,250.12,58.51,209.89,693.99,328.97,124.52,58.78,46.25,985.08,156.12,11.67,339.03,472.16,283.44,358.96,313.81,497.99,115.61,395.55,52.56,129.78,167.01,92.61,745.77,204.52,422.49,192.83,113.62,99.15,464.37,131.74,115.62,84481.66
2026-03-16,211.74,136.8,252.82,57.43,213.47,699.78,330.12,126.57,60.84,46.65,989.12,157.23,11.71,342.58,483.46,286.16,366.21,321.84,508.5,115.43,399.95,53.31,129.85,167.45,93.1,756.91,206.06,426.59,198.34,114.88,97.82,470.0,132.44,118.15,84481.66
2026-03-17,215.2,135.12,254.23,56.05,210.82,702.0,330.87,128.87,64.83,47.42,930.35,158.81,11.94,341.43,482.76,286.89,368.86,327.28,506.58,115.87,399.41,53.93,130.71,169.19,92.43,759.05,203.33,432.94,195.31,116.72,97.57,472.71,144.39,121.68,84481.66
